"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","13817","message","2020-08-09T15:05:34","","Onliner","9598013669","","","","В районе кинотеатра Москва взорвали три светошумовые гранаты","","","","","","","","","","","","","",""
"","","","13818","message","2020-08-09T15:26:24","","Onliner","9598013669","","","","У Стелы силовики готовятся к массовому разгону. Сюда прибыл ОМОН, экипированный шлемами, жилетами и прочими спецсредствами. Протестующие также прибывают и держатся в цепи.","","","","","","","","","","","","","",""
"","","","13819","message","2020-08-09T15:31:23","","Onliner","9598013669","","","","В Минске метро перекрыто от Молодёжной до Октябрьской.","","","","","","","","","","","","","",""
"","","","13820","message","2020-08-09T15:34:56","","Onliner","9598013669","","","","Силовики в полной экипировке бегут через мост на Немиге в сторону Дворца Спорта. Их очень много. Классические «космонавты» со щитами, по которых они бьют, создавая шум. После они сконцентрировались в районе Дворца спорта, где сейчас главный муравейник. Часть омоновцев отсекла толпу ближе к Немиге и стоит, не совершая активных действий. К них подходят прохожие и начинают переговоры.\n\nДругая группа ОМОНа выскакивает из подворотен на той стороне проспекта, где расположен кинотеатр «Москва», окружая людей. Одну шеренгу ОМОНа прорвали. В милиционеров полетело несколько бутылок. Началась драка. Омоновц используют дубинки.\n\nПо проспекту едет скорая с мигалками. Он в участке от KFC до Дворца Спорта занят протестующими. Люди ходят по дороге. Милиция почему-то отошла во дворы.","","","","","","","","","","","","","",""
"","","","13821","message","2020-08-09T15:48:31","","Onliner","9598013669","","","","Большое движение в районе Дворца спрта. Люди гуляют по проезжей части проспекта Победителей и селфятся. Милиции не наблюдается. Ходят активные разговоры, что вся она сконцентрировалась на перекрестке Мельникайте и Заславской и задействовала слезоточивый газ.\n\nВ какой-то момент все движение на проспекте активизировалось. Начался бег со стороны ТЦ Galleria. Вернулись силовики.","","","","","","","","","","","","","",""
"","","","13822","message","2020-08-09T15:50:48","","Onliner","9598013669","","","","Напомним, что фото/видео с места событий можно присылать в нашего бота — ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","mention","@newsonliner_bot","","","","","","","","","","","",""
"","","","13823","message","2020-08-09T15:56:13","","Onliner","9598013669","","","","Со стороны Стеллы слышны хлопки, люди отступают, но возвращаются обратно.","","","","","","","","","","","","","",""
"","","","13824","message","2020-08-09T15:57:45","","Onliner","9598013669","","","","Улица Машерова в районе Bigzz. Здесь много людей, они громко скандируют. ОМОН не решается разгонять. Возможно, ждет подкрепления. Люди вышли на проезжую часть. На середине дороги лежит парень без майки. Он обездвижен. Подъехала реанимация.\n\nЛюди пошли в наступление на ОМОН. В ответ полетело несколько светошумовых гранат. За спиной у стоящей среди проезжей части толпы появились автозаки. Люди стали расходиться в стороны, некоторые все еще на дороге.","","","","","","","","","","","","","",""
"","","","13825","message","2020-08-09T16:03:10","2020-08-09T16:05:38","Onliner","9598013669","","","","Брест. Рассказывает местная жительница Марина. Она видит все происходящее из своих окон. На проезжей части выставили машины милиции, а по тротуару ОМОН со щитами двигается. Выставлена ограда неподалеку от так называемое Кобринского моста, который соединяет две половины города. ОМОН теснит людей от Советской улицы в сторону этой заграды.","","","","","","","","","","","","","",""
