"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696049.html?tg","","","","","","","","","","","","","",""
"","","","9916","message","2020-08-09T13:09:53","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","540","Что происходит в Беларуси после закрытия избирательных участков?\n\nРассказываем онлайн.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695999.html?tg","","","","","","","","","","","","","",""
"","","","9917","message","2020-08-09T13:11:46","","TUT.BY новости","9668803208","","","","Тем временем обнародованы результаты национального exit poll. По их данным:\n\nАлександр Лукашенко набрал 79,7%,\nСветлана Тихановская — 6,8%,\nАнна Канопацкая — 2,3%,\nАндрей Дмитриев — 1,1%,\nСергей Черечень — 0,9%.\n\nПротив всех проголосовали 9,2%.","","","","","","","","","","","","","","","",""
"","","","9918","message","2020-08-09T13:20:35","2020-08-09T13:20:50","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","485","720","На одном из участков в Минске собрались огромные очереди.\n\nИзбиратели: «Говорят, закончились бюллетени».\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696043.html?tg","","","","","","","","","","","","","",""
"","","","9919","message","2020-08-09T13:21:54","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","488","Пользователи пишут, что возле некоторых участков после закрытия собираются люди.\n\nЕрмошина рассказала, что на некоторых участках в Минске голосование продлилось даже после 20.00, чтобы все смогли проголосовать.","","","","","","","","","","","","","","","",""
"","","","9920","message","2020-08-09T13:27:59","","TUT.BY новости","9668803208","","720","1280","Белорусы в Москве не разошлись после закрытия участка. Приехала местная полиция.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","Выборы видишь? | TUT.BY Политика","","","","","","","",""
"","","","9921","message","2020-08-09T13:36:57","2020-08-09T13:37:18","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Лидия Ермошина призвала проигравших кандидатов в президенты спокойно принять поражение, поздравить победителя и не волновать массы.","","","","","","","","","","","","","","","",""
"","","","9922","message","2020-08-09T13:41:40","","TUT.BY новости","9668803208","","","","Ищем квартиру с интернетом в районе улицы Камайской, чтобы отправить отснятый материал в редакцию. Если вы готовы - пишите ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","mention","@tutby_news_bot","","","","","","","","","","","","","",""
"","","","9923","message","2020-08-09T13:45:09","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","540","В Сухарево участок не закрыли в 20.00 — очередь еще была.\n\n«Когда начался дождь, люди из соседних домов принесли нам зонтики».\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696045.html?tg","","","","","","","","","","","","","",""
